2 3 10

P 5
1 1 0.04 0.3
1 2 0.64 3
2 1 0.75 7
2 2 0.73 6
2 3 0.04 0.3

D 4
1 2 0.64 3
1 3 0.7 7
3 1 0.74 7
3 2 1.05 6

C 12
1 1 0.16 1.2
1 2 0.24 1.5
1 3 0.4 3
2 1 1.12 3
2 4 0.84 6
2 5 0.2 1.5
3 1 2.52 6
3 6 0.12 0.6
3 7 0.1 0.7
3 8 0.08 0.6
3 9 0.2 1.5
3 10 0.24 1.8

300
1	3	1437
1	1	0
1	2	5156
2	3	3078
2	1	773
2	2	697
3	3	1594
3	1	598
3	2	561
4	3	1794
4	1	0
4	2	208
5	3	1378
5	1	1287
5	2	1762
6	3	1982
6	1	0
6	2	994
6	2	878
7	3	612
7	3	408
7	1	1691
7	2	435
8	3	1382
8	1	1692
8	2	717
9	3	3986
9	1	377
9	2	356
10	3	912
10	1	1920
10	2	156
11	3	1538
11	1	414
11	2	477
12	3	1162
12	1	795
12	2	354
13	3	1486
13	1	80
13	2	406
14	3	1091
14	1	235
14	2	363
15	3	1066
15	1	492
15	2	594
16	3	1270
16	1	317
16	2	14
17	3	854
17	2	281
18	3	921
18	1	262
18	2	5
19	3	1207
19	1	1
19	2	252
20	3	379
20	1	961
20	2	862
21	3	1382
21	1	1242
21	2	782
22	3	525
22	1	169
22	2	611
23	3	810
23	1	291
23	2	884
24	3	1632
24	1	178
24	2	280
25	3	548
25	1	72
25	2	242
26	3	553
26	1	2
26	2	168
27	3	663
27	1	587
27	2	347
28	3	4462
28	1	1052
28	2	214
29	3	1001
29	1	4
29	2	136
30	3	1121
30	1	285
30	2	356
31	3	414
31	1	379
31	2	1456
32	3	1743
32	1	744
32	2	522
33	3	3258
33	1	431
33	2	301
34	3	4282
34	1	3575
34	2	1693
35	3	1361
35	1	766
35	2	200
36	3	2235
36	1	440
36	2	597
37	3	820
37	1	1045
37	2	310
38	3	940
38	1	1137
38	2	641
39	3	6327
39	1	3285
39	2	1096
40	3	340
40	1	1266
40	2	2057
41	3	3361
41	1	0
41	2	1152
42	3	1646
42	1	296
42	2	50
43	3	3564
43	1	495
43	2	2898
44	3	956
44	1	8122
44	2	510
45	3	971
45	1	140
45	2	2275
46	3	1418
46	1	1248
46	2	723
47	3	1387
47	1	191
47	2	1130
47	2	167
48	3	1781
48	1	6500
48	2	800
49	3	1500
49	1	505
49	2	1300
50	3	1900
50	1	1350
51	3	591
51	2	170
52	3	5000
52	1	27
52	2	700
53	1	300
53	2	267
54	3	1300
54	1	417
54	2	209
55	3	6000
55	2	250
56	3	1500
56	1	700
56	2	800
57	3	4600
57	1	149
57	2	40
58	3	1300
58	1	193
58	2	571
59	3	1150
59	1	25
59	2	163
60	3	1168
60	1	656
60	2	1100
61	3	1900
61	1	190
61	2	800
62	3	192
62	1	860
62	2	235
63	3	430
63	1	76
63	2	1947
64	3	137
64	1	260
64	2	320
65	3	5150
65	1	238
65	2	78
66	3	81
66	1	0
66	2	362
67	3	2957
67	1	600
67	2	154
68	3	4200
68	1	540
68	2	447
69	3	3
69	1	550
70	3	5376
70	1	196
70	2	26
71	3	217
71	1	322
71	1	476
71	2	307
72	3	24
72	1	114
72	2	137
73	3	3
73	1	350
73	2	439
74	3	100
74	1	97
74	1	1123
74	2	635
75	3	846
75	1	743
75	2	791
76	3	486
76	1	119
76	2	1532
77	3	758
77	1	842
77	2	900
78	3	1276
78	1	912
78	2	438
79	3	381
79	1	555
79	2	321
80	3	1558
80	1	800
80	2	147
81	3	5178
81	3	182
81	1	1502
81	2	256
82	3	366
82	1	309
82	2	47
83	3	21
83	1	585
83	2	168
84	3	1418
84	1	0
84	2	661
85	3	519
85	1	97
85	2	863
86	3	8793
86	1	1902
86	2	1292
87	3	1247
87	1	1030
87	2	1080
88	3	479
88	1	629
88	2	376
89	3	3272
89	1	58
89	2	262
90	3	2610
90	1	6348
90	2	750
91	3	11978
91	1	730
91	2	205
92	3	253
92	1	5213
92	2	823
93	3	2537
93	1	95
93	2	777
94	3	5781
94	1	144
94	1	196
94	2	363
95	3	10000
95	1	447
95	2	419
96	3	1481
96	1	1788
96	2	414
97	3	2024
97	1	19
97	2	2800
98	3	181
98	2	327
99	3	720
99	1	774
99	2	1471
